Number of atr,P_edge,Target assort,Target correlation,Calculated_corr,Time,Deviation_assort,Corr_type,Sheme,Mutation
5,0.05,0.2,"[0.8799892180672533, 0.7147983791375156, 0.8558176675222176]","[0.130965558217227, 0.004843286806107184, 0.9148762713268267]",103,0.49999999999999994,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.9,"[0.8799892180672533, 0.7147983791375156, 0.8558176675222176]","[0.4157153543090908, 0.5082756902543405, 0.7931391954032242]",192,0.0,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.9,"[0.8799892180672533, 0.7147983791375156, 0.8558176675222176]","[0.7322439387068616, 0.6012240555842543, 0.7574407181637433]",192,0.09999999999999998,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.14324124622380296, 0.07946800632827046, 0.2793133663613707, 0.29313374446696133, 0.23356644366215687]","[-0.371501094530438, -0.2302317631250399, 0.11913856442069522, 0.16154397539150533, 0.28388687426382164]",307,0.0,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.14324124622380296, 0.07946800632827046, 0.2793133663613707, 0.29313374446696133, 0.23356644366215687]","[0.26228293730281016, 0.379700994040204, 0.24232546630515195, 0.10213354167532365, 0.24934804490541926]",307,0.2,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.14324124622380296, 0.07946800632827046, 0.2793133663613707, 0.29313374446696133, 0.23356644366215687]","[0.39214099417042475, -0.3280963189453983, -0.05971000799502796, -0.4403897149952834, 0.5999869325459701]",46,0.0,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.14324124622380296, 0.07946800632827046, 0.2793133663613707, 0.29313374446696133, 0.23356644366215687]","[0.2441764333844616, 0.18636566998481438, -0.04799675841518531, 0.3292166693734215, 0.6875197724562504]",46,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.14324124622380296, 0.07946800632827046, 0.2793133663613707, 0.29313374446696133, 0.23356644366215687]","[0.23908529191763814, 0.3958658887221989, -0.03305151338464618, 0.5060727539224298, 0.8254172571261227]",46,0.4,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.14324124622380296, 0.07946800632827046, 0.2793133663613707, 0.29313374446696133, 0.23356644366215687]","[0.029611921307068696, 0.04918031541869806, 0.13422409804934773, 0.3763089561146604, 0.7617436401960669]",46,0.9,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.8165139903113727, 0.7388483610264919, 0.7463182025779134, 0.7353082771170838, 0.8304155863051853]","[0.6534157908247388, 0.02206751780849316, 0.28428060881449735, -0.34578857841012955, 0.9877340230031177]",80,0.0,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.8165139903113727, 0.7388483610264919, 0.7463182025779134, 0.7353082771170838, 0.8304155863051853]","[0.6172140698053562, 0.3746560878689139, 0.04219602225552017, -0.3410452694424242, 0.9913401739065792]",80,0.09999999999999998,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.8165139903113727, 0.7388483610264919, 0.7463182025779134, 0.7353082771170838, 0.8304155863051853]","[0.47591007940714136, 0.9678511915565694, 0.16544572054925163, -0.14540148772451555, 0.8306113384336565]",121,0.0,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.8165139903113727, 0.7388483610264919, 0.7463182025779134, 0.7353082771170838, 0.8304155863051853]","[0.8569002825841905, 0.17757776348447882, 0.46727858154083823, -0.2104798220505725, 0.8258623502449607]",121,0.09999999999999998,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.8165139903113727, 0.7388483610264919, 0.7463182025779134, 0.7353082771170838, 0.8304155863051853]","[0.6160676067482068, 0.7625297495994697, 0.38276262751518636, -0.09533093051629277, 0.8549942456530873]",121,0.20000000000000007,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.2,"[0.10206482073662973, 0.1859458656178409, 0.2932745581877073, 0.11360736687989614, 0.06703494748501278, 0.1280894954684278]","[-0.15317098072213237, 0.7140304081452657, -0.10116122748854163, -0.36946289834447443, -0.6675988322341511, -0.6259081294955265]",48,0.1,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.2,"[0.10206482073662973, 0.1859458656178409, 0.2932745581877073, 0.11360736687989614, 0.06703494748501278, 0.1280894954684278]","[-0.23439392487650523, 0.6550854413459525, -0.430278820947513, -0.4470544173604285, -0.6712629501302392, -0.3981580937747293]",48,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.2,"[0.10206482073662973, 0.1859458656178409, 0.2932745581877073, 0.11360736687989614, 0.06703494748501278, 0.1280894954684278]","[-0.07157711846974346, 0.0535195145868849, -0.018607180882744646, -0.08947524249563302, -0.6308610970386572, -0.682308726346334]",48,0.1,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.2,"[0.10206482073662973, 0.1859458656178409, 0.2932745581877073, 0.11360736687989614, 0.06703494748501278, 0.1280894954684278]","[0.01342323350237513, 0.21558361316350916, 0.14806064062519678, -0.5287311082081028, -0.6667606819936781, 0.6087889838602578]",48,0.2,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.2,"[0.10206482073662973, 0.1859458656178409, 0.2932745581877073, 0.11360736687989614, 0.06703494748501278, 0.1280894954684278]","[0.027769139322905867, 0.7842845814081034, -0.29730071829995436, -0.160502396832753, 0.09229001140781354, -0.4780386575249339]",48,0.39999999999999997,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.9,"[0.10206482073662973, 0.1859458656178409, 0.2932745581877073, 0.11360736687989614, 0.06703494748501278, 0.1280894954684278]","[0.1778034919507015, 0.27914933607409487, 0.23581457195769062, -0.43600678963523704, -0.11951289583307513, 0.12983115548725216]",315,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.9,"[0.10206482073662973, 0.1859458656178409, 0.2932745581877073, 0.11360736687989614, 0.06703494748501278, 0.1280894954684278]","[0.0008008501535054571, 0.3738880140318363, 0.14095454800137974, -0.26593541870532245, -0.3138640934531381, 0.025387197968419102]",315,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.9,"[0.10206482073662973, 0.1859458656178409, 0.2932745581877073, 0.11360736687989614, 0.06703494748501278, 0.1280894954684278]","[0.05906783447553629, 0.12685678228037692, -0.09808509611270377, 0.01990980379180214, -0.20712770087773885, 0.001643568964770501]",315,0.20000000000000007,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.2,"[0.8769165131790054, 0.8273813923693485, 0.855258206738289, 0.8271186146144525, 0.8958803428623527, 0.8265327209863308]","[0.17289289212381892, 0.7482769950661554, -0.3548757323262998, -0.7047646400346514, 0.4390437093257894, 0.5159065466192357]",53,0.0,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.2,"[0.8769165131790054, 0.8273813923693485, 0.855258206738289, 0.8271186146144525, 0.8958803428623527, 0.8265327209863308]","[-0.1971390311066462, 0.7385002993307213, -0.6200935106754496, 0.6400137194188673, 0.4231878916349666, 0.3049584407617677]",53,0.2,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.2,"[0.8769165131790054, 0.8273813923693485, 0.855258206738289, 0.8271186146144525, 0.8958803428623527, 0.8265327209863308]","[0.05270395530937212, 0.7479474040747851, -0.31617315053931133, 0.6048989060576123, 0.4700071444934189, 0.3336043906531474]",53,0.7,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.9,"[0.8769165131790054, 0.8273813923693485, 0.855258206738289, 0.8271186146144525, 0.8958803428623527, 0.8265327209863308]","[-0.03883463081545217, 0.641172049605175, -0.029791390734915546, 0.2897498095417549, 0.7849260932667543, 0.3888087643425263]",231,0.0,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
10,0.05,0.9,"[0.8769165131790054, 0.8273813923693485, 0.855258206738289, 0.8271186146144525, 0.8958803428623527, 0.8265327209863308]","[0.7098091414987245, 0.5561162156886054, -0.01509959744894022, 0.29286219175632866, 0.4725237189377081, 0.39173211043222944]",231,0.4,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.2,"[0.22997786030091139, 0.1839640168787308, 0.12278172192310816, 0.23495805073743797, 0.1960165166449643, 0.19962191777191896, 0.12368509616912712, 0.2980801685195956, 0.022486690921036844, 0.060627527864366676, 0.2578067494682378, 0.022817327966828994, 0.013730592868832114, 0.05174527340020394, 0.12789151026366546, 0.19868669036284972, 0.09138728260069574, 0.2146795357654698, 0.22827815255610423, 0.034400677944994816]","[-0.1331137400824389, -0.31310928829713225, 0.1559421267916579, 0.19075753850365101, 0.6142906955260201, 0.08276511004717058, 0.44639936113874584, 0.4647445488454549, 0.04541758397924591, 0.04069540048589513, 0.02211309198825499, -0.8420585493272296, 0.15784901487815706, 0.15465702860454836, 0.04666220618223946, 0.10328958262415158, 0.024610810182969928, -0.03431555943958996, 0.4584014179810839, 0.6496280353981704]",384,0.0,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.2,"[0.22997786030091139, 0.1839640168787308, 0.12278172192310816, 0.23495805073743797, 0.1960165166449643, 0.19962191777191896, 0.12368509616912712, 0.2980801685195956, 0.022486690921036844, 0.060627527864366676, 0.2578067494682378, 0.022817327966828994, 0.013730592868832114, 0.05174527340020394, 0.12789151026366546, 0.19868669036284972, 0.09138728260069574, 0.2146795357654698, 0.22827815255610423, 0.034400677944994816]","[-0.03725414056885159, 0.4597920983124756, 0.4383372752182246, -0.24329622730532305, -0.2640796771262816, 0.14716226295583568, -0.007799897312019222, 0.04045753052752675, -0.07831226418401249, -0.10665246119378835, 0.0483637379449192, -0.15188300642597088, -0.3152829890814448, 0.07665191347250894, 0.14423911827162078, 0.15914934852621276, 0.07021777363809398, 0.26310009934064904, 0.376413476869469, 0.8639329019122679]",384,0.1,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.9,"[0.22997786030091139, 0.1839640168787308, 0.12278172192310816, 0.23495805073743797, 0.1960165166449643, 0.19962191777191896, 0.12368509616912712, 0.2980801685195956, 0.022486690921036844, 0.060627527864366676, 0.2578067494682378, 0.022817327966828994, 0.013730592868832114, 0.05174527340020394, 0.12789151026366546, 0.19868669036284972, 0.09138728260069574, 0.2146795357654698, 0.22827815255610423, 0.034400677944994816]","[0.016421237120612258, 0.38284009609847985, 0.2930254004876804, -0.10682996464043473, -0.11670203738564748, 0.1284352753512742, -0.1136585402317787, 0.3333410788008302, -0.11327639639968907, 0.03556369814249832, -0.07109054215635072, -0.37451444139383355, -0.6648690134831289, 0.1994175111753921, 0.1597954009044922, 0.6539495772189131, -0.09671626333433883, 0.039903297838943336, 0.4015925000993184, 0.7948188879818378]",160,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.9,"[0.22997786030091139, 0.1839640168787308, 0.12278172192310816, 0.23495805073743797, 0.1960165166449643, 0.19962191777191896, 0.12368509616912712, 0.2980801685195956, 0.022486690921036844, 0.060627527864366676, 0.2578067494682378, 0.022817327966828994, 0.013730592868832114, 0.05174527340020394, 0.12789151026366546, 0.19868669036284972, 0.09138728260069574, 0.2146795357654698, 0.22827815255610423, 0.034400677944994816]","[0.10355465869974698, 0.6008160838236543, 0.3968331098754156, -0.057842328942121886, -0.33775120580993345, 0.3539274880959802, 0.24320498476310187, 0.46150802351660014, 0.005512306024840454, -0.36623950539269917, -0.3525599502967842, -0.3404160684666061, -0.01234891397688187, 0.14899644421223326, -0.11693456670327651, 0.05650026008587451, 0.0528361738644501, -0.20003766386380875, 0.28660226501846825, 0.21045426299483183]",160,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.9,"[0.22997786030091139, 0.1839640168787308, 0.12278172192310816, 0.23495805073743797, 0.1960165166449643, 0.19962191777191896, 0.12368509616912712, 0.2980801685195956, 0.022486690921036844, 0.060627527864366676, 0.2578067494682378, 0.022817327966828994, 0.013730592868832114, 0.05174527340020394, 0.12789151026366546, 0.19868669036284972, 0.09138728260069574, 0.2146795357654698, 0.22827815255610423, 0.034400677944994816]","[0.12094167597921356, 0.2504046790326691, 0.35584715245622267, -0.08447922014939527, -0.04863968842321651, 0.2616736764930895, -0.030055799154302298, 0.4225408294597558, 0.2142148540935859, -0.005347574591573775, 0.1507234472349924, -0.3540925198703621, -0.26458887452052554, -0.10872894802768678, -0.038538358162087866, 0.10548084746894923, -0.21564494884917138, 0.2793923561866246, 0.0015597801626674231, 0.20162378622901675]",160,0.7,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.2,"[0.8781615750283758, 0.7157411998330614, 0.7322925475844193, 0.8524561285459709, 0.8378271558477954, 0.7055682584787495, 0.8363202615272252, 0.8225381256937152, 0.7883711859880892, 0.8561933873213462, 0.8999432042588728, 0.7805145253073482, 0.8523893626533363, 0.7845249528196827, 0.8811823834832019, 0.7748348163004793, 0.7649903837941939, 0.8869861776429386, 0.8899567031483129, 0.8576299477013517]","[0.10341013173074212, 0.44251701956744394, 0.2861019740189104, -0.3186868957563663, 0.052744722933267374, 0.13302966250535433, 0.2858202882910502, -0.06933271707924168, 0.03127826308249617, 0.31088751986586916, -0.15938377798610323, -0.9068136742512589, -0.03298700448174294, 0.2040720303226182, -0.03730846713764432, 0.14987649051012647, 0.2181290728367368, 0.4168934132184847, 0.24380144043072288, 0.6318884429349964]",276,0.1,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.2,"[0.8781615750283758, 0.7157411998330614, 0.7322925475844193, 0.8524561285459709, 0.8378271558477954, 0.7055682584787495, 0.8363202615272252, 0.8225381256937152, 0.7883711859880892, 0.8561933873213462, 0.8999432042588728, 0.7805145253073482, 0.8523893626533363, 0.7845249528196827, 0.8811823834832019, 0.7748348163004793, 0.7649903837941939, 0.8869861776429386, 0.8899567031483129, 0.8576299477013517]","[-0.042858569120227466, 0.6601822446518804, 0.4005865064463447, -0.026675470173682426, 0.24299974325253823, 0.00917163506361094, 0.0927572219041471, -0.015776131649013952, -0.13272521409413598, -0.2662169326969263, 0.1114982318432072, 0.4082781122720634, 0.13507461539865484, 0.33606716528111136, -0.12634683491863322, -0.07474010707442756, -0.023464331944414107, 0.24183440055705954, 0.2035216751850249, 0.8507306818237362]",276,0.09999999999999998,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.2,"[0.8781615750283758, 0.7157411998330614, 0.7322925475844193, 0.8524561285459709, 0.8378271558477954, 0.7055682584787495, 0.8363202615272252, 0.8225381256937152, 0.7883711859880892, 0.8561933873213462, 0.8999432042588728, 0.7805145253073482, 0.8523893626533363, 0.7845249528196827, 0.8811823834832019, 0.7748348163004793, 0.7649903837941939, 0.8869861776429386, 0.8899567031483129, 0.8576299477013517]","[0.05489586751760212, 0.40237251767523474, 0.37308229339799825, 0.01049782865000107, 0.30720524508889085, 0.008287365400171866, -0.006516163598092041, -0.06451805949599008, -0.17958869943918135, -0.05543857837582033, 0.20186876752896277, 0.4296998272065888, -0.16329822887405654, 0.24070864694508948, 0.1231464513586907, 0.049666508037621605, -0.15828744836804576, 0.1461879491798065, -0.02087995666536893, 0.8523716198471757]",276,0.2,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.2,"[0.8781615750283758, 0.7157411998330614, 0.7322925475844193, 0.8524561285459709, 0.8378271558477954, 0.7055682584787495, 0.8363202615272252, 0.8225381256937152, 0.7883711859880892, 0.8561933873213462, 0.8999432042588728, 0.7805145253073482, 0.8523893626533363, 0.7845249528196827, 0.8811823834832019, 0.7748348163004793, 0.7649903837941939, 0.8869861776429386, 0.8899567031483129, 0.8576299477013517]","[0.015364434762016817, 0.4270504619836964, 0.6282192772452171, 0.04612847533821685, 0.19179874342169975, 0.0918990008047112, -0.041415819388580626, 0.1330464378895656, -0.06033159489303532, 0.007018206486613731, 0.10602115777867656, -0.20459086011546887, -0.014555887883811668, 0.0021065053066141757, -0.08175322770690753, -0.1397002389664048, 0.07160908783550814, 0.2924768415730826, 0.07583540337865716, 0.8638219388699803]",276,0.3,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.9,"[0.8781615750283758, 0.7157411998330614, 0.7322925475844193, 0.8524561285459709, 0.8378271558477954, 0.7055682584787495, 0.8363202615272252, 0.8225381256937152, 0.7883711859880892, 0.8561933873213462, 0.8999432042588728, 0.7805145253073482, 0.8523893626533363, 0.7845249528196827, 0.8811823834832019, 0.7748348163004793, 0.7649903837941939, 0.8869861776429386, 0.8899567031483129, 0.8576299477013517]","[0.17259204218843685, 0.5045309668830691, 0.3661226366624971, -0.17073986970107558, -0.5104478878194865, -0.5432978120603119, -0.05209565555375097, 0.4451141030559105, 0.0197635690873421, -0.0715062564784687, 0.033218595466153536, -0.8080026082504448, -0.6294386780412863, 0.12599350795193692, -0.06751319448795179, 0.5333701116267121, -0.00863380957586399, 0.2536360449958527, 0.5394328679073358, 0.8146745938922216]",80,0.0,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.9,"[0.8781615750283758, 0.7157411998330614, 0.7322925475844193, 0.8524561285459709, 0.8378271558477954, 0.7055682584787495, 0.8363202615272252, 0.8225381256937152, 0.7883711859880892, 0.8561933873213462, 0.8999432042588728, 0.7805145253073482, 0.8523893626533363, 0.7845249528196827, 0.8811823834832019, 0.7748348163004793, 0.7649903837941939, 0.8869861776429386, 0.8899567031483129, 0.8576299477013517]","[0.05851282951925897, 0.31267516530167155, 0.3987634547978594, -0.1927332509617376, -0.48559421404289627, -0.5044637503748163, -0.11592058884290268, 0.45116421306366644, -0.0017301317180488823, -0.21943350407753445, 0.15628574678731433, -0.5747409256089824, -0.6956444706990055, -0.026080333891380456, -0.11049234810107053, 0.6352022972526904, -0.053746712205249056, 0.3456061495677937, 0.46102043831437356, 0.8509337502310913]",80,0.09999999999999998,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.9,"[0.8781615750283758, 0.7157411998330614, 0.7322925475844193, 0.8524561285459709, 0.8378271558477954, 0.7055682584787495, 0.8363202615272252, 0.8225381256937152, 0.7883711859880892, 0.8561933873213462, 0.8999432042588728, 0.7805145253073482, 0.8523893626533363, 0.7845249528196827, 0.8811823834832019, 0.7748348163004793, 0.7649903837941939, 0.8869861776429386, 0.8899567031483129, 0.8576299477013517]","[0.2003314960502938, 0.5353527378777826, 0.021404651092584645, -0.1781790704897639, -0.5464727324365678, -0.5497240843279725, -0.13563846309047004, 0.35223974893101917, 0.12356757306081842, -0.15710146855934565, -0.04102565000038254, -0.7990087762564143, 0.395736633557319, 0.5624854017265956, 0.06753229778927061, -0.08036518774433629, 0.01608380471849658, 0.267532694470557, 0.4303646420598632, 0.8491527670572816]",80,0.20000000000000007,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
20,0.05,0.9,"[0.8781615750283758, 0.7157411998330614, 0.7322925475844193, 0.8524561285459709, 0.8378271558477954, 0.7055682584787495, 0.8363202615272252, 0.8225381256937152, 0.7883711859880892, 0.8561933873213462, 0.8999432042588728, 0.7805145253073482, 0.8523893626533363, 0.7845249528196827, 0.8811823834832019, 0.7748348163004793, 0.7649903837941939, 0.8869861776429386, 0.8899567031483129, 0.8576299477013517]","[0.20471197987859943, 0.45685196736386297, 0.4418538252349275, -0.24294053708273786, 0.2718529817233066, -0.05511652904564422, -0.137408304503899, 0.049216850075238606, -0.08688533213666932, 0.37859458854612754, 0.043468532515245864, -0.8927939882857758, -0.5990777014956742, 0.09308355000460125, 0.0614293293641871, 0.7226038718748784, -0.19283020336816997, 0.23336317850135294, 0.3955700703520775, 0.8606952826965967]",80,0.9,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.28411448221062174, 0.10217346978058649, 0.12515291547066323]","[-0.009748974647003595, -0.024616112515873683, 0.06023412753315596]",100,0.1,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.28411448221062174, 0.10217346978058649, 0.12515291547066323]","[0.05972484609876994, 0.1087410688967781, 0.092156234036891]",100,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.28411448221062174, 0.10217346978058649, 0.12515291547066323]","[-0.09483385636133877, 0.23225086790290975, 0.23880865106024343]",100,0.1,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.28411448221062174, 0.10217346978058649, 0.12515291547066323]","[0.27546037307928684, 0.10281538451442747, 0.09862249001677262]",100,0.2,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.9,"[0.28411448221062174, 0.10217346978058649, 0.12515291547066323]","[0.16444859488099164, 0.0169056377970369, 0.6046212927416188]",91,0.0,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.9,"[0.28411448221062174, 0.10217346978058649, 0.12515291547066323]","[0.16740281351606898, 0.18460233400066184, 0.15045381559622642]",91,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.9,"[0.28411448221062174, 0.10217346978058649, 0.12515291547066323]","[0.135944714521677, 0.17433867254325008, 0.3153301376690263]",91,0.5,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.8380874754329756, 0.8877250170654092, 0.7221130788344775]","[0.7792195633815607, 0.10975312709385322, 0.20741068970495755]",66,0.1,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.8380874754329756, 0.8877250170654092, 0.7221130788344775]","[0.8702668996362253, 0.4545200448455507, 0.4594904498543891]",66,0.2,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.9,"[0.8380874754329756, 0.8877250170654092, 0.7221130788344775]","[0.9937780997177186, -0.35200180166953443, 0.43089555010359165]",36,0.0,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.9,"[0.8380874754329756, 0.8877250170654092, 0.7221130788344775]","[0.9326124042296456, 0.06255108164213166, -0.14695623021846999]",36,0.09999999999999998,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.9,"[0.8380874754329756, 0.8877250170654092, 0.7221130788344775]","[0.24918695646836428, -0.010328549014692897, 0.029463332178567794]",36,0.9,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.16956354608723506, 0.22783959961805847, 0.2173832151449654, 0.0990056209051993, 0.17829966423163987]","[0.19055560032257846, 0.22730074944563788, 0.049354990651781755, 0.1555153998541581, 0.3762734519988381]",90,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.16956354608723506, 0.22783959961805847, 0.2173832151449654, 0.0990056209051993, 0.17829966423163987]","[0.20083360429073696, 0.0816435709769662, -0.021502332682579898, 0.0751901068375968, 0.2013417094436966]",90,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.2,"[0.16956354608723506, 0.22783959961805847, 0.2173832151449654, 0.0990056209051993, 0.17829966423163987]","[0.21502865335840818, -0.07202901367476221, 0.29106936801172406, 0.02942285708958811, 0.25683651519244355]",90,0.3,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
8,0.05,0.9,"[0.16956354608723506, 0.22783959961805847, 0.2173832151449654, 0.0990056209051993, 0.17829966423163987]","[0.749174772582335, 0.21633315082986382, 0.3925244391869966, -0.0157268875097485, -0.20803224064331327]",93,0.0,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
